| 순서 |                연도 | 장소·건축물            | 기준 및 참고 사항                                                                         |
| -: | ----------------: | ----------------- | ---------------------------------------------------------------------------------- |
|  1 |          **794년** | **봉은사**           | 신라 원성왕 10년에 창건된 것으로 전해집니다. ([템플스테이][1])                                            |
|  2 |         **1011년** | **진관사**           | 고려 현종 때 창건됐습니다. 현재 건물 대부분은 한국전쟁 이후 복원됐습니다. ([진관사][2])                              |
|  3 |         **1395년** | **경복궁**           | 조선 태조 때 창건됐으며, 현재 궁궐의 상당 부분은 1860년대 중건 및 이후 복원된 건물입니다. ([국가유산포털][3])               |
|  4 |         **1398년** | **숭례문**           | 1396년 착공해 1398년 완성됐습니다. 이후 1448년 개축되고 2008년 화재 뒤 2013년 복구됐습니다. ([국가유산포털][4])       |
|  5 |         **1869년** | **흥인지문·동대문**      | 최초 건립은 1396년이지만, 현재 남아 있는 문은 1869년에 다시 지은 건물입니다. ([국가유산포털][5])                     |
|  6 | **1897년 말∼1898년** | **독립문**           | 1897년 11월경 완성됐다는 자료와 1898년 완공으로 표기한 문화유산 자료가 함께 존재합니다. ([우리역사넷][6])                |
|  7 |         **1926년** | **조선총독부 청사**      | 경복궁 앞에 준공됐으며, 1995년 철거를 시작해 1996년 철거가 완료됐습니다. ([국가기록원][7])                         |
|  8 |         **1926년** | **서울시청 구청사**      | 경성부청사로 1926년 9월 준공됐습니다. 현재는 서울도서관으로 사용됩니다. ([서울박물관][8])                            |
|  9 |         **1939년** | **김포공항**          | 김포비행장으로 조성된 시점을 기준으로 했습니다. 국제공항으로 정식 지정된 것은 1958년입니다. ([KAC한국공항공사(국문)][9])         |
| 10 |         **1955년** | **국립서울현충원**       | 국군묘지로 창설·조성됐습니다. 이후 국립묘지와 국립서울현충원으로 명칭이 변경됐습니다. ([MPVA][10])                       |
| 11 |         **1963년** | **국립4·19민주묘지**    | 4·19 희생자 묘역과 기념탑이 조성됐습니다. 국립묘지로 승격된 것은 1995년입니다. ([MPVA][11])                      |
| 12 |         **1964년** | **서울디지털산업단지**     | 구로공단 조성이 시작된 연도입니다. 제1단지는 1967년 준공됐고, 2000년 현재 명칭으로 변경됐습니다. ([서울 뉴스][12])          |
| 13 |         **1964년** | **구로디지털단지**       | 서울디지털산업단지와 사실상 같은 산업단지·지역을 가리킵니다. 1964년 구로공단 조성을 출발점으로 봅니다. ([서울 뉴스][12])          |
| 14 |         **1973년** | **어린이대공원**        | 1973년 5월 5일 개장했습니다. ([서울공원][13])                                                   |
| 15 |         **1975년** | **남산타워·N서울타워**    | 방송 송신탑은 1975년 7월 완공됐고, 전망시설은 1980년 일반에 개방됐습니다. ([서울 뉴스][14])                       |
| 16 |         **1975년** | **국회의사당**         | 여의도 국회의사당이 1975년 9월 1일 준공됐습니다. ([국가기록원][15])                                       |
| 17 |         **1975년** | **서울대학교**         | 대학 자체는 1946년 설립됐지만, 현재의 관악캠퍼스를 기준으로 1975년을 적용했습니다. ([서울대학교][16])                   |
| 18 |         **1979년** | **코엑스**           | 한국종합전시장, 당시 KOEX가 1979년 7월 개관한 것을 기준으로 했습니다. ([코엑스][17])                           |
| 19 |         **1985년** | **63빌딩**          | 1985년 5월 완공된 뒤 같은 해 7월 정식 개관했습니다. ([대한민국역사박물관][18])                                |
| 20 |         **1986년** | **올림픽공원**         | 1988 서울올림픽을 위해 조성되어 1986년 완공됐습니다. ([KSPONCO][19])                                  |
| 21 |         **1988년** | **예술의전당**         | 1988년 음악당과 서예관이 먼저 개관했습니다. 전체 시설의 완성·전관 개관은 1993년입니다. ([예술의전당][20])                |
| 22 |         **1988년** | **암사동유적지**        | 현재의 유적 전시·관람 시설이 1988년 8월 개장한 시점입니다. 유적 자체는 약 기원전 5천∼4천년경의 신석기 유적입니다. ([강동구청][21]) |
| 23 |         **1989년** | **목동아이스링크**       | 1989년 11월 준공해 같은 해 12월 1일 개장했습니다. ([mdicerink.com][22])                            |
| 24 |         **1993년** | **용마폭포공원**        | 1993년 용마돌산공원으로 개원했습니다. 인공폭포가 완성되고 현재 명칭이 사용된 것은 1997년입니다. ([미디어허브 서울][23])         |
| 25 |         **1997년** | **길상사**           | 옛 요정 대원각 부지에 사찰이 설립되어 1997년 12월 길상사로 문을 열었습니다. ([kilsangsa.info][24])              |
| 26 |         **2002년** | **서울역사박물관**       | 사용자가 적은 ‘서울시립박물관’은 서울역사박물관을 뜻하는 것으로 보이며, 2002년 5월 21일 개관했습니다. ([서울박물관][25])        |
| 27 |         **2005년** | **서울숲**           | 2005년 6월 18일 개원했습니다. ([서울숲컨서번시][26])                                               |
| 28 |         **2005년** | **국립중앙박물관**       | 박물관 기관은 1945년 출범했지만, 현재 용산 건물은 2005년 10월 28일 개관했습니다. ([국립중앙박물관][27])               |
| 29 |         **2009년** | **서울창포원**         | 2009년 6월 7일 개원했습니다. ([서울공원][28])                                                   |
| 30 |         **2009년** | **세종대왕 동상**       | 광화문광장 동상이 2009년 10월 9일 공개됐습니다. ([e역사관][29])                                        |
| 31 |         **2012년** | **서울시청 신청사**      | 2012년 8월 31일 공사를 마치고 9월부터 입주가 시작됐습니다. ([서울 뉴스][30])                                |
| 32 |         **2014년** | **동대문디자인플라자·DDP** | 2014년 3월 21일 개관했습니다. ([디지털도서관][31])                                                |
| 33 |         **2015년** | **고척스카이돔**        | 2015년 9월 준공됐으며, 같은 해 11월 정식 개장했습니다. ([미디어허브 서울][32])                               |
| 34 |    **2016∼2017년** | **롯데월드타워**        | 건축물은 2016년 말 사실상 완성됐고, 2017년 2월 사용승인을 받아 4월 정식 개장했습니다. ([서울 뉴스][33])               |
| 35 |         **2023년** | **홍대 레드로드**       | 홍대 문화예술관광특구에 관광 특화거리로 조성됐습니다. ([redroad.kr][34])                                   |
