건물 이름,출력 이름,해금 기술력,건설 비용,건설 시간,지원 비용,보수 비용,철거 비용,자금생산량,인구수 증가량,기술력 증가량,사랑 증가량,편의성 증가량,이미지 링크,부연설명,설립연도
Stru_AmsaDong,암사동유적지,0,80,1,8,8,4,4,1,2,2,2,,"암사동유적지는 한강 유역에 형성된 우리나라 대표 신석기시대 취락 유적이다.\n1925년 을축년 대홍수로 유물이 드러나면서 알려졌고, 이후 여러 차례 발굴을 통해 빗살무늬토기와 움집터 등이 확인되었다.\n당시 사람들의 주거·식생활·도구 제작 방식을 살펴볼 수 있어 한반도 선사문화를 이해하는 중요한 자료가 된다.\n서울특별시와 강동구는 유적 보존과 전시·교육 공간 운영을 통해 선사시대의 생활상을 시민에게 알리고 있다.","건립연도(개관·조성연도): 신석기시대 형성(약 6,000년 전) / 1925년 발견 / 1979년 사적 지정"
Stru_ChildrenPark,어린이대공원,120,180,2,18,18,9,8,3,1,2,6,,"서울어린이대공원은 어린이날인 1973년 5월 5일 문을 연 가족 중심의 종합공원이다.\n과거 골프장으로 사용되던 넓은 부지를 어린이와 시민을 위한 녹지·문화 공간으로 바꾸어 조성했다.\n동물원과 식물원, 놀이시설, 공연장 등이 함께 있어 오랫동안 서울의 대표적인 가족 나들이 장소로 사랑받아 왔다.\n서울특별시는 시설 개선과 생태·문화 프로그램 운영을 이어가며 공원의 공공성과 접근성을 높이고 있다.",건립연도(개관·조성연도): 1973년 5월 5일 개원
Stru_OlympicPark,올림픽공원,450,650,3,65,65,25,20,5,3,3,8,,"올림픽공원은 1986년 서울아시아경기대회와 1988년 서울올림픽 개최를 위해 조성된 대규모 체육·문화 공원이다.\n공원 안에는 올림픽 경기장과 세계평화의문, 조각공원 등 대회의 유산을 보여주는 시설이 남아 있다.\n한성백제 시대의 유적인 몽촌토성도 함께 자리해 현대 스포츠사와 고대 역사를 한 공간에서 살펴볼 수 있다.\n현재는 국민체육진흥공단 계열 기관이 관리하며 공연·전시·체육·휴식이 어우러진 시민 공간으로 활용되고 있다.",건립연도(개관·조성연도): 1984년 착공 / 1986년 완공
Stru_SeoulMetropolitanGovernment_Gu,서울시청,0,120,2,12,12,8,8,6,1,2,6,,현재 서울도서관으로 사용되는 옛 서울시청 건물은 1926년 일제강점기에 경성부청 청사로 건립되었다.\n광복 이후에는 오랫동안 서울특별시의 행정 중심지로 사용되며 서울의 성장과 도시 행정의 변화를 지켜보았다.\n새 청사가 완공된 뒤 역사적 외관과 주요 구조를 보존·복원하여 2012년 서울도서관으로 다시 문을 열었다.\n서울특별시는 이 건물을 시민 지식문화 공간으로 활용하며 근현대 행정사의 흔적을 함께 보존하고 있다.,건립연도(개관·조성연도): 1926년 건립(옛 경성부청) / 2012년 서울도서관으로 개관
Stru_SeoulMetropolitanGovernment_New,서울시청(신),500,700,3,70,70,25,16,8,3,3,8,,서울시청 신청사는 2012년 완공되어 기존 청사의 행정 기능을 이어받은 서울특별시의 새로운 행정 중심지이다.\n유리로 이루어진 곡선형 외관은 전통 건축의 처마와 서울의 역동적인 모습을 현대적으로 표현한 것으로 설명된다.\n건물 내부에는 수직정원과 시민청 등 시민이 이용할 수 있는 열린 공간이 마련되어 있다.\n서울특별시는 신청사를 행정 업무뿐 아니라 전시·공연·시민 참여가 이루어지는 공공청사로 운영하고 있다.,건립연도(개관·조성연도): 2012년 8월 완공
Stru_Sungnyemun,숭례문,0,100,1,10,10,5,4,1,2,4,2,,"숭례문은 조선 태조 때 한양도성의 남쪽 정문으로 세워진 서울의 대표적인 성문이다.\n조선시대에는 사람과 물자가 도성 안팎을 오가는 관문이었으며, 현존하는 서울 성문 가운데 역사적 상징성이 매우 크다.\n2008년 방화로 문루가 크게 소실되었으나 전통 재료와 기법을 활용한 복구 공사를 거쳐 2013년 다시 공개되었다.\n오늘날에는 한양도성과 서울 도심의 역사를 연결하는 핵심 국가유산으로 보존·관리되고 있다.",건립연도(개관·조성연도): 1398년 완공 / 2013년 복구 완료
Stru_JinGwanSA,진관사,0,70,1,7,7,4,4,1,1,2,2,,진관사는 고려 현종이 왕위에 오르는 데 도움을 준 진관대사의 은혜에 보답하기 위해 1011년 창건한 것으로 전해진다.\n조선시대에는 왕실과 관련된 수륙재가 열리는 등 국가적 불교 의례의 중심지 가운데 하나로 기능했다.\n한국전쟁으로 많은 전각이 소실되었지만 이후 지속적인 중창을 통해 현재의 모습을 갖추었다.\n사찰에서 발견된 일제강점기 태극기와 독립운동 자료는 진관사가 불교문화뿐 아니라 항일 역사를 간직한 장소임을 보여준다.,건립연도(개관·조성연도): 1011년 창건
Stru_GyoungBokGung,경복궁,0,150,2,15,15,8,8,2,3,4,3,Assets/Image/Building/경복궁.png,"경복궁은 조선 태조 4년인 1395년에 창건된 조선 왕조 최초의 법궁이다.\n임진왜란으로 대부분의 전각이 소실된 뒤 오랫동안 폐허로 남아 있다가 1867년 흥선대원군의 주도로 중건되었다.\n일제강점기에는 조선총독부 청사 건립 등으로 많은 건물이 철거되거나 훼손되었으며, 이후 장기적인 복원 사업이 진행되고 있다.\n현재는 조선 왕실의 정치와 문화를 보여주는 대표 고궁이며, 서울특별시도 광화문광장과 주변 보행·관광 안내를 연계해 역사문화축의 접근성을 높이고 있다.",건립연도(개관·조성연도): 1395년 창건 / 1867년 중건
Stru_KingSejongStatue,세종대왕 동상,260,260,2,26,26,10,8,2,3,3,3,,"광화문광장의 세종대왕 동상은 한글날인 2009년 10월 9일 공개되었다.\n조각가 김영원이 제작했으며, 높이 약 6.2m의 좌상으로 한 손에는 펼친 책을 들고 다른 손은 백성을 향해 펼친 모습이다.\n동상 주변에는 측우기·혼천의·앙부일구 모형이 배치되어 세종 시대의 과학과 문화적 성취를 상징한다.\n서울특별시는 광화문광장 조성과 재정비, 지하 전시관 ‘세종이야기’ 운영을 통해 세종의 업적을 시민과 관광객에게 알리고 있다.",건립연도(개관·조성연도): 2009년 10월 9일 건립
Stru_RedRoad,홍대 레드로드,500,420,2,42,42,15,32,5,2,3,6,,"홍대 레드로드는 2023년 마포구가 홍대 일대의 주요 보행·관광 구간을 붉은색 테마로 연결해 조성한 문화거리이다.\n경의선숲길 인근에서 홍대 걷고싶은거리와 당인리발전소 방향을 잇는 여러 구간으로 구성된다.\n버스킹과 거리공연, 전시, 축제 등을 한곳에 모아 홍대 특유의 청년문화와 창작 활동을 활성화하는 것이 목적이다.\n마포구는 서울특별시와의 관광·문화 사업 연계를 바탕으로 안전시설과 공연 공간, 안내 체계를 정비해 지역 상권과 문화관광을 지원하고 있다.",건립연도(개관·조성연도): 2023년 조성
